similar_questions,total_submission,like,paid_only,title,url,topics,level,companies,ac_rate,frequency,dislike,total_accpeted,id
[u'Convert Sorted List to Binary Search Tree'],413100.0,574.0,False,ConvertSortedArraytoBinarySearchTree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description/,"[u'Tree', u'Depth-first Search']",Easy,"[u'Google\xa06', u'Microsoft\xa02', u'Amazon\xa02', u'Baidu\xa02', u'Bloomberg\xa02', u'Tencent\xa02', u'Airbnb\xa0']",0.456548051319,512.9742440967406,65.0,188600.0,108.0
[u'Convert Sorted Array to Binary Search Tree'],378600.0,523.0,False,ConvertSortedListtoBinarySearchTree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/description/,"[u'Linked List', u'Depth-first Search']",Medium,"[u'Amazon\xa03', u'Google\xa02', u'Zenefits\xa0']",0.366085578447,416.80558594228273,39.0,138600.0,109.0
[u'Trapping Rain Water'],580900.0,1482.0,False,ContainerWithMostWater,https://leetcode.com/problems/container-with-most-water/description/,"[u'Array', u'Two Pointers']",Medium,"[u'Adobe\xa08', u'Google\xa05', u'Airbnb\xa03', u'Microsoft\xa02', u'Amazon\xa02', u'Baidu\xa02', u'Alibaba\xa02', u'Bloomberg\xa0']",0.37476329833,621.1359432758882,349.0,217700.0,11.0
[u'Maximum Depth of Binary Tree'],620900.0,617.0,False,BalancedBinaryTree,https://leetcode.com/problems/balanced-binary-tree/description/,"[u'Tree', u'Depth-first Search']",Easy,"[u'Microsoft\xa07', u'Google\xa07', u'Facebook\xa05', u'Amazon\xa02', u'Bloomberg\xa0']",0.388790465453,513.9956108939582,50.0,241400.0,110.0
"[u'Binary Tree Level Order Traversal', u'Maximum Depth of Binary Tree']",673700.0,405.0,False,MinimumDepthofBinaryTree,https://leetcode.com/problems/minimum-depth-of-binary-tree/description/,"[u'Tree', u'Depth-first Search', u'Breadth-first Search']",Easy,"[u'Facebook\xa021', u'Amazon\xa08', u'Google\xa02', u'Adobe\xa02']",0.338429568057,399.9332142514661,191.0,228000.0,111.0
"[u'Path Sum II', u'Binary Tree Maximum Path Sum', u'Sum Root to Leaf Numbers', u'Path Sum III', u'Path Sum IV']",655600.0,484.0,False,PathSum,https://leetcode.com/problems/path-sum/description/,"[u'Tree', u'Depth-first Search']",Easy,"[u'Amazon\xa08', u'Google\xa05', u'LinkedIn\xa02', u'Facebook\xa02', u'Microsoft\xa0']",0.354636973764,396.3822005943548,157.0,232500.0,112.0
"[u'Path Sum', u'Binary Tree Paths', u'Path Sum III', u'Path Sum IV']",478200.0,453.0,False,PathSumII,https://leetcode.com/problems/path-sum-ii/description/,"[u'Tree', u'Depth-first Search']",Medium,"[u'Amazon\xa06', u'Facebook\xa02', u'Adobe\xa02', u'Bloomberg\xa02']",0.367210372229,301.99337279699955,15.0,175600.0,113.0
[u'Flatten a Multilevel Doubly Linked List'],469800.0,696.0,False,FlattenBinaryTreetoLinkedList,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description/,"[u'Tree', u'Depth-first Search']",Medium,"[u'Facebook\xa024', u'Bloomberg\xa03', u'Apple\xa02', u'Microsoft\xa02', u'eBay\xa02']",0.376756066411,405.221874470947,82.0,177000.0,114.0
[],266300.0,351.0,False,DistinctSubsequences,https://leetcode.com/problems/distinct-subsequences/description/,"[u'String', u'Dynamic Programming']",Hard,[],0.326323695081,458.25522642930457,22.0,86900.0,115.0
"[u'Populating Next Right Pointers in Each Node II', u'Binary Tree Right Side View']",506000.0,544.0,False,PopulatingNextRightPointersinEachNode,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description/,"[u'Tree', u'Depth-first Search']",Medium,"[u'Microsoft\xa012', u'Google\xa011', u'Amazon\xa011', u'Hulu\xa02']",0.367193675889,430.2365879068277,39.0,185800.0,116.0
[u'Populating Next Right Pointers in Each Node'],416400.0,471.0,False,PopulatingNextRightPointersinEachNodeII,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/description/,"[u'Tree', u'Depth-first Search']",Medium,"[u'Bloomberg\xa020', u'Microsoft\xa013', u'Amazon\xa010', u'Google\xa09', u'Facebook\xa0']",0.336935638809,310.26254078968554,60.0,140300.0,117.0
"[u""Pascal's Triangle II""]",445800.0,360.0,False,Pascal'sTriangle,https://leetcode.com/problems/pascals-triangle/description/,[u'Array'],Easy,"[u'Google\xa04', u'Yelp\xa03', u'Amazon\xa03', u'Microsoft\xa03', u'Bloomberg\xa02', u'Twitter\xa0', u'Apple\xa0']",0.412965455361,541.2157647300958,40.0,184100.0,118.0
"[u""Pascal's Triangle""]",395300.0,263.0,False,Pascal'sTriangleII,https://leetcode.com/problems/pascals-triangle-ii/description/,[u'Array'],Easy,"[u'Microsoft\xa02', u'Amazon\xa0']",0.392613205161,431.25795470404535,115.0,155200.0,119.0
"[u'Roman to Integer', u'Integer to English Words']",327800.0,261.0,False,IntegertoRoman,https://leetcode.com/problems/integer-to-roman/description/,"[u'Math', u'String']",Medium,"[u'LinkedIn\xa06', u'Microsoft\xa04', u'Amazon\xa04', u'Adobe\xa03', u'Alibaba\xa02', u'Facebook\xa02', u'Twitter\xa0']",0.470103721782,612.9650088981471,1100.0,154100.0,12.0
[],393500.0,568.0,False,Triangle,https://leetcode.com/problems/triangle/description/,"[u'Array', u'Dynamic Programming']",Medium,"[u'Amazon\xa07', u'Adobe\xa04', u'Google\xa04', u'Apple\xa02', u'Bloomberg\xa02']",0.358068614994,482.7482530562128,53.0,140900.0,120.0
"[u'Maximum Subarray', u'Best Time to Buy and Sell Stock II', u'Best Time to Buy and Sell Stock III', u'Best Time to Buy and Sell Stock IV', u'Best Time to Buy and Sell Stock with Cooldown']",734400.0,1368.0,False,BestTimetoBuyandSellStock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,"[u'Array', u'Dynamic Programming']",Easy,"[u'Facebook\xa030', u'Amazon\xa08', u'Bloomberg\xa07', u'Google\xa05', u'Microsoft\xa03', u'Lyft\xa02', u'Adobe\xa02', u'Intuit\xa02', u'Expedia\xa02', u'Uber\xa0']",0.4375,588.4522057649237,71.0,321300.0,121.0
"[u'Best Time to Buy and Sell Stock', u'Best Time to Buy and Sell Stock III', u'Best Time to Buy and Sell Stock IV', u'Best Time to Buy and Sell Stock with Cooldown', u'Best Time to Buy and Sell Stock with Transaction Fee']",460800.0,448.0,False,BestTimetoBuyandSellStockII,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description/,"[u'Array', u'Greedy']",Easy,"[u'Microsoft\xa04', u'Amazon\xa04', u'Facebook\xa03', u'Alibaba\xa02', u'Bloomberg\xa02']",0.485677083333,595.6017733454472,875.0,223800.0,122.0
"[u'Best Time to Buy and Sell Stock', u'Best Time to Buy and Sell Stock II', u'Best Time to Buy and Sell Stock IV', u'Maximum Sum of 3 Non-Overlapping Subarrays']",369300.0,526.0,False,BestTimetoBuyandSellStockIII,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description/,"[u'Array', u'Dynamic Programming']",Hard,"[u'Facebook\xa018', u'Amazon\xa06', u'Two Sigma\xa03', u'Tencent\xa02']",0.309504467912,466.5914615362233,28.0,114300.0,123.0
"[u'Path Sum', u'Sum Root to Leaf Numbers', u'Path Sum IV', u'Longest Univalue Path']",493900.0,727.0,False,BinaryTreeMaximumPathSum,https://leetcode.com/problems/binary-tree-maximum-path-sum/description/,"[u'Tree', u'Depth-first Search']",Hard,"[u'Facebook\xa011', u'Amazon\xa07', u'Microsoft\xa04', u'Google\xa02', u'Pocket Gems\xa02', u'Baidu\xa0']",0.275764324762,464.31410374496375,53.0,136200.0,124.0
"[u'Palindrome Linked List', u'Valid Palindrome II']",885500.0,315.0,False,ValidPalindrome,https://leetcode.com/problems/valid-palindrome/description/,"[u'Two Pointers', u'String']",Easy,"[u'Facebook\xa015', u'Apple\xa04', u'Amazon\xa03', u'Google\xa02', u'Microsoft\xa02', u'Uber\xa0', u'Zenefits\xa0']",0.279164313947,446.8828762998796,903.0,247200.0,125.0
[u'Word Ladder'],576900.0,461.0,False,WordLadderII,https://leetcode.com/problems/word-ladder-ii/description/,"[u'Array', u'String', u'Backtracking', u'Breadth-first Search']",Hard,"[u'Amazon\xa011', u'Facebook\xa09', u'Google\xa05', u'LinkedIn\xa04', u'Lyft\xa03', u'Snapchat\xa03', u'Microsoft\xa02', u'Yelp\xa02']",0.152366094644,375.6392706552791,96.0,87900.0,126.0
"[u'Word Ladder II', u'Minimum Genetic Mutation']",858400.0,671.0,False,WordLadder,https://leetcode.com/problems/word-ladder/description/,[u'Breadth-first Search'],Medium,"[u'Amazon\xa014', u'Facebook\xa06', u'Microsoft\xa03', u'Google\xa03', u'eBay\xa02', u'LinkedIn\xa0', u'Snapchat\xa0', u'Yelp\xa0']",0.2064305685,447.1338677394168,522.0,177200.0,127.0
[u'Binary Tree Longest Consecutive Sequence'],390000.0,987.0,False,LongestConsecutiveSequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,"[u'Array', u'Union Find']",Hard,"[u'Google\xa011', u'Facebook\xa07', u'Amazon\xa07', u'Uber\xa06', u'Bloomberg\xa02']",0.388461538462,521.6577679891225,44.0,151500.0,128.0
"[u'Path Sum', u'Binary Tree Maximum Path Sum']",372100.0,328.0,False,SumRoottoLeafNumbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/description/,"[u'Tree', u'Depth-first Search']",Medium,"[u'Amazon\xa03', u'Facebook\xa02']",0.387798978769,273.1789362691177,17.0,144300.0,129.0
[u'Integer to Roman'],528100.0,630.0,False,RomantoInteger,https://leetcode.com/problems/roman-to-integer/description/,"[u'Math', u'String']",Easy,"[u'Adobe\xa09', u'Microsoft\xa07', u'Facebook\xa06', u'LinkedIn\xa05', u'Amazon\xa03', u'Zenefits\xa03', u'Coursera\xa02', u'Aetion\xa02', u'Pocket Gems\xa02', u'Yahoo!\xa02', u'Baidu\xa02', u'Google\xa02', u'Mathworks\xa02', u'Bloomberg\xa0', u'Uber\xa0', u'Yahoo\xa0']",0.488922552547,626.2427772619764,1817.0,258200.0,13.0
"[u'Number of Islands', u'Walls and Gates']",537100.0,379.0,False,SurroundedRegions,https://leetcode.com/problems/surrounded-regions/description/,"[u'Depth-first Search', u'Breadth-first Search', u'Union Find']",Medium,"[u'Google\xa09', u'Amazon\xa06', u'Facebook\xa02']",0.202569353938,323.5378348090568,295.0,108800.0,130.0
[u'Palindrome Partitioning II'],348500.0,455.0,False,PalindromePartitioning,https://leetcode.com/problems/palindrome-partitioning/description/,[u'Backtracking'],Medium,"[u'Amazon\xa05', u'Bloomberg\xa0']",0.366714490674,389.0561132246372,19.0,127800.0,131.0
[u'Palindrome Partitioning'],337200.0,296.0,False,PalindromePartitioningII,https://leetcode.com/problems/palindrome-partitioning-ii/description/,[u'Dynamic Programming'],Hard,[u'Google\xa05'],0.253262158956,309.3631865146675,18.0,85400.0,132.0
[u'Copy List with Random Pointer'],634800.0,406.0,False,CloneGraph,https://leetcode.com/problems/clone-graph/description/,"[u'Depth-first Search', u'Breadth-first Search', u'Graph']",Medium,"[u'Facebook\xa014', u'Amazon\xa06', u'Pocket Gems\xa04', u'Microsoft\xa02', u'Google\xa02', u'Uber\xa0']",0.251417769376,397.8904806570308,402.0,159600.0,133.0
[],357500.0,379.0,False,GasStation,https://leetcode.com/problems/gas-station/description/,[u'Greedy'],Medium,"[u'Microsoft\xa011', u'Amazon\xa07', u'Google\xa06', u'Alibaba\xa02']",0.307412587413,462.97792190353675,202.0,109900.0,134.0
[],316600.0,204.0,False,Candy,https://leetcode.com/problems/candy/description/,[u'Greedy'],Hard,"[u'Google\xa06', u'Microsoft\xa04', u'Uber\xa03']",0.256475047378,429.21522110961007,93.0,81200.0,135.0
"[u'Single Number II', u'Single Number III', u'Missing Number', u'Find the Duplicate Number', u'Find the Difference']",578200.0,1338.0,False,SingleNumber,https://leetcode.com/problems/single-number/description/,"[u'Hash Table', u'Bit Manipulation']",Easy,"[u'Amazon\xa05', u'Expedia\xa02', u'Microsoft\xa02', u'Alibaba\xa02', u'Airbnb\xa02', u'Google\xa02', u'Palantir\xa0']",0.563991698374,622.1573100731058,44.0,326100.0,136.0
"[u'Single Number', u'Single Number III']",324000.0,427.0,False,SingleNumberII,https://leetcode.com/problems/single-number-ii/description/,[u'Bit Manipulation'],Medium,[u'Google\xa03'],0.433333333333,559.8839565557795,167.0,140400.0,137.0
[u'Clone Graph'],651300.0,722.0,False,CopyListwithRandomPointer,https://leetcode.com/problems/copy-list-with-random-pointer/description/,"[u'Hash Table', u'Linked List']",Medium,"[u'Microsoft\xa022', u'Amazon\xa014', u'Bloomberg\xa014', u'Facebook\xa07', u'Alibaba\xa03', u'Google\xa03', u'LinkedIn\xa02', u'Adobe\xa02', u'Uber\xa0']",0.257177951789,568.0548909335206,203.0,167500.0,138.0
[u'Word Break II'],714200.0,1045.0,False,WordBreak,https://leetcode.com/problems/word-break/description/,[u'Dynamic Programming'],Medium,"[u'Facebook\xa08', u'Microsoft\xa08', u'Amazon\xa08', u'Google\xa04', u'Apple\xa03', u'Uber\xa03', u'Bloomberg\xa03', u'Yahoo!\xa02', u'Yahoo\xa0', u'Pocket Gems\xa0', u'Square\xa0', u'Coupang\xa0']",0.321058527023,551.2947921011577,69.0,229300.0,139.0
[],944000.0,686.0,False,LongestCommonPrefix,https://leetcode.com/problems/longest-common-prefix/description/,[u'String'],Easy,"[u'Adobe\xa020', u'IXL\xa011', u'Microsoft\xa06', u'Airbnb\xa06', u'Aetion\xa05', u'Google\xa04', u'Facebook\xa04', u'Yelp\xa02']",0.317690677966,619.0932096814529,843.0,299900.0,14.0
"[u'Word Break', u'Concatenated Words']",484200.0,478.0,False,WordBreakII,https://leetcode.com/problems/word-break-ii/description/,"[u'Dynamic Programming', u'Backtracking']",Hard,"[u'Amazon\xa07', u'Bloomberg\xa04', u'Microsoft\xa03', u'Google\xa02', u'Facebook\xa02', u'Uber\xa0', u'Twitter\xa0', u'Snapchat\xa0', u'Dropbox\xa0']",0.249896736886,451.059756211514,125.0,121000.0,140.0
"[u'Linked List Cycle II', u'Happy Number']",794400.0,828.0,False,LinkedListCycle,https://leetcode.com/problems/linked-list-cycle/description/,"[u'Linked List', u'Two Pointers']",Easy,"[u'Tencent\xa04', u'Apple\xa02', u'Baidu\xa02', u'Alibaba\xa02', u'Microsoft\xa02', u'Amazon\xa02', u'Bloomberg\xa0', u'Yahoo\xa0']",0.348187311178,590.494939359359,52.0,276600.0,141.0
"[u'Linked List Cycle', u'Find the Duplicate Number']",527400.0,719.0,False,LinkedListCycleII,https://leetcode.com/problems/linked-list-cycle-ii/description/,"[u'Linked List', u'Two Pointers']",Medium,"[u'Microsoft\xa04', u'Bloomberg\xa03', u'Adobe\xa03', u'Google\xa02', u'Amazon\xa02', u'Tencent\xa02']",0.301668562761,503.2561461328288,46.0,159100.0,142.0
[],429500.0,420.0,False,ReorderList,https://leetcode.com/problems/reorder-list/description/,[u'Linked List'],Medium,"[u'Facebook\xa025', u'Google\xa06', u'Hulu\xa04', u'Amazon\xa03']",0.27473806752,476.13852488123257,36.0,118000.0,143.0
"[u'Binary Tree Inorder Traversal', u'Verify Preorder Sequence in Binary Search Tree', u'N-ary Tree Preorder Traversal']",519400.0,373.0,False,BinaryTreePreorderTraversal,https://leetcode.com/problems/binary-tree-preorder-traversal/description/,"[u'Stack', u'Tree']",Medium,"[u'Facebook\xa05', u'Alibaba\xa03', u'Microsoft\xa02']",0.478051597998,368.51256718503896,23.0,248300.0,144.0
"[u'Binary Tree Inorder Traversal', u'N-ary Tree Postorder Traversal']",441600.0,457.0,False,BinaryTreePostorderTraversal,https://leetcode.com/problems/binary-tree-postorder-traversal/description/,"[u'Stack', u'Tree']",Hard,"[u'Google\xa06', u'Facebook\xa05']",0.435235507246,319.9786448388596,27.0,192200.0,145.0
"[u'LFU Cache', u'Design In-Memory File System', u'Design Compressed String Iterator']",911000.0,1330.0,False,LRUCache,https://leetcode.com/problems/lru-cache/description/,[u'Design'],Hard,"[u'Amazon\xa022', u'Apple\xa014', u'Facebook\xa012', u'Google\xa010', u'Microsoft\xa010', u'Uber\xa08', u'Two Sigma\xa07', u'Bloomberg\xa06', u'eBay\xa04', u'Baidu\xa04', u'Alibaba\xa03', u'Palantir Technologies\xa03', u'LinkedIn\xa03', u'Lyft\xa02', u'Twitter\xa0', u'Snapchat\xa0', u'Zenefits\xa0', u'Yahoo\xa0', u'Palantir\xa0']",0.206805708013,596.6231401426649,43.0,188400.0,146.0
"[u'Sort List', u'Insert into a Cyclic Sorted List']",362100.0,187.0,False,InsertionSortList,https://leetcode.com/problems/insertion-sort-list/description/,"[u'Linked List', u'Sort']",Medium,"[u'Alibaba\xa02', u'Google\xa02']",0.345208505938,532.023463555137,234.0,125000.0,147.0
"[u'Merge Two Sorted Lists', u'Sort Colors', u'Insertion Sort List']",457700.0,691.0,False,SortList,https://leetcode.com/problems/sort-list/description/,"[u'Linked List', u'Sort']",Medium,"[u'Adobe\xa03', u'Microsoft\xa03', u'Pocket Gems\xa02', u'Alibaba\xa02', u'Tencent\xa02', u'Hulu\xa02', u'Baidu\xa02']",0.309809919161,589.4735725621414,39.0,141800.0,148.0
[u'Line Reflection'],639000.0,223.0,False,MaxPointsonaLine,https://leetcode.com/problems/max-points-on-a-line/description/,"[u'Hash Table', u'Math']",Hard,"[u'LinkedIn\xa033', u'Google\xa024', u'Amazon\xa010', u'Adobe\xa07', u'Apple\xa04', u'Twitter\xa0']",0.152112676056,567.033524136303,679.0,97200.0,149.0
"[u'Two Sum', u'3Sum Closest', u'4Sum', u'3Sum Smaller']",1600000.0,1900.0,False,3Sum,https://leetcode.com/problems/3sum/description/,"[u'Array', u'Two Pointers']",Medium,"[u'Facebook\xa046', u'Intuit\xa05', u'Microsoft\xa05', u'eBay\xa04', u'Aetion\xa03', u'Alibaba\xa02', u'Uber\xa02', u'Apple\xa02', u'Google\xa02', u'Amazon\xa0', u'Bloomberg\xa0', u'Adobe\xa0', u'Works Applications\xa0']",0.2205,582.1705023337968,210.0,352800.0,15.0
"[u'Basic Calculator', u'Expression Add Operators']",420300.0,279.0,False,EvaluateReversePolishNotation,https://leetcode.com/problems/evaluate-reverse-polish-notation/description/,[u'Stack'],Medium,"[u'LinkedIn\xa017', u'Google\xa08', u'Two Sigma\xa06', u'Microsoft\xa03', u'Uber\xa02']",0.29193433262,530.518275094794,239.0,122700.0,150.0
[u'Reverse Words in a String II'],1300000.0,278.0,False,ReverseWordsinaString,https://leetcode.com/problems/reverse-words-in-a-string/description/,[u'String'],Medium,"[u'Microsoft\xa020', u'Amazon\xa06', u'Facebook\xa04', u'LinkedIn\xa04', u'Apple\xa04', u'Google\xa03', u'Bloomberg\xa0', u'Snapchat\xa0', u'Yelp\xa0']",0.161538461538,579.1064019421439,1482.0,210000.0,151.0
"[u'Maximum Subarray', u'House Robber', u'Product of Array Except Self', u'Maximum Product of Three Numbers', u'Subarray Product Less Than K']",554700.0,1092.0,False,MaximumProductSubarray,https://leetcode.com/problems/maximum-product-subarray/description/,"[u'Array', u'Dynamic Programming']",Medium,"[u'LinkedIn\xa013', u'Microsoft\xa06', u'Yelp\xa04', u'Amazon\xa03', u'Google\xa02', u'Pocket Gems\xa02']",0.271498107085,550.27342530394,47.0,150600.0,152.0
"[u'Search in Rotated Sorted Array', u'Find Minimum in Rotated Sorted Array II']",506800.0,472.0,False,FindMinimuminRotatedSortedArray,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description/,"[u'Array', u'Binary Search']",Medium,"[u'Microsoft\xa07', u'Bloomberg\xa03', u'Amazon\xa03', u'Google\xa03', u'eBay\xa02']",0.41318074191,540.1943979328781,97.0,209400.0,153.0
[u'Find Minimum in Rotated Sorted Array'],267600.0,226.0,False,FindMinimuminRotatedSortedArrayII,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/description/,"[u'Array', u'Binary Search']",Hard,[u'Uber\xa03'],0.38153961136,393.5084520240923,76.0,102100.0,154.0
"[u'Sliding Window Maximum', u'Max Stack']",631200.0,951.0,False,MinStack,https://leetcode.com/problems/min-stack/description/,"[u'Stack', u'Design']",Easy,"[u'Amazon\xa06', u'Lyft\xa03', u'Google\xa03', u'Bloomberg\xa02', u'Uber\xa02', u'Snapchat\xa0', u'Zenefits\xa0']",0.323669201521,593.5590397510119,94.0,204300.0,155.0
[u'Reverse Linked List'],79600.0,104.0,True,BinaryTreeUpsideDown,https://leetcode.com/problems/binary-tree-upside-down/description/,[u'Tree'],Medium,"[u'LinkedIn\xa010', u'Microsoft\xa02']",0.469849246231,283.4684376913067,323.0,37400.0,156.0
[u'Read N Characters Given Read4 II - Call multiple times'],184700.0,87.0,True,ReadNCharactersGivenRead4,https://leetcode.com/problems/read-n-characters-given-read4/description/,[u'String'],Easy,"[u'Facebook\xa021', u'Uber\xa03']",0.284786139686,263.87158713937424,823.0,52600.0,157.0
[u'Read N Characters Given Read4'],182600.0,129.0,True,ReadNCharactersGivenRead4II-Callmultipletimes,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times/description/,[u'String'],Hard,"[u'Facebook\xa048', u'Google\xa015', u'Uber\xa04', u'Bloomberg\xa0']",0.244797371303,271.8123554407173,348.0,44700.0,158.0
"[u'Longest Substring Without Repeating Characters', u'Sliding Window Maximum', u'Longest Substring with At Most K Distinct Characters']",94300.0,178.0,True,LongestSubstringwithAtMostTwoDistinctCharacters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/description/,"[u'Hash Table', u'Two Pointers', u'String']",Hard,"[u'Google\xa015', u'Microsoft\xa02', u'Facebook\xa02']",0.433722163309,265.41470042092897,6.0,40900.0,159.0
"[u'3Sum', u'3Sum Smaller']",585800.0,531.0,False,3SumClosest,https://leetcode.com/problems/3sum-closest/description/,"[u'Array', u'Two Pointers']",Medium,"[u'Amazon\xa06', u'Adobe\xa03', u'Airbnb\xa03', u'Alibaba\xa02', u'Apple\xa02', u'Bloomberg\xa0']",0.321611471492,539.1730311356605,39.0,188400.0,16.0
[u'Minimum Index Sum of Two Lists'],683500.0,1167.0,False,IntersectionofTwoLinkedLists,https://leetcode.com/problems/intersection-of-two-linked-lists/description/,[u'Linked List'],Easy,"[u'Amazon\xa05', u'Microsoft\xa03', u'LinkedIn\xa02', u'Google\xa02', u'Bloomberg\xa02', u'Airbnb\xa0']",0.307534747623,527.7859687724283,71.0,210200.0,160.0
[u'Edit Distance'],176100.0,207.0,True,OneEditDistance,https://leetcode.com/problems/one-edit-distance/description/,[u'String'],Medium,"[u'Facebook\xa013', u'Microsoft\xa04', u'Snapchat\xa02', u'Yelp\xa02', u'Uber\xa0', u'Twitter\xa0']",0.314026121522,326.17783966343507,58.0,55300.0,161.0
